City_ID,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1,Limanowa,PL,40,1552406344,52,49.71,20.42,44.01,17.22
2,Hami,CN,0,1552406478,59,42.84,93.51,36.17,8.63
3,Ahipara,NZ,36,1552406424,100,-35.17,173.16,61,7.52
4,Flinders,AU,75,1552406433,72,-34.58,150.85,70,5.82
5,Klaksvik,FO,92,1552405800,75,62.23,-6.59,41,11.41
6,Albany,US,90,1552406461,54,42.65,-73.75,36,6.93
7,Dawei,MM,0,1552406479,78,14.07,98.19,70.37,2.82
8,Lebu,ET,40,1552402800,31,8.96,38.73,75.2,9.17
9,Punta Arenas,CL,75,1552405997,57,-53.16,-70.91,48.2,6.93
10,Kapaa,US,1,1552405591,77,22.08,-159.32,69.8,12.75
11,Tuy Hoa,VN,56,1552406219,94,13.08,109.3,77.12,2.37
12,Cherskiy,RU,64,1552406481,57,68.75,161.3,-11.81,1.92
13,Dikson,RU,0,1552406481,69,73.51,80.55,-5.46,5.73
14,Kaili,ID,56,1552406481,90,-3.46,120.21,71.31,2.37
15,Kvitok,RU,88,1552406481,68,56.08,98.48,28.52,6.73
16,Busselton,AU,0,1552406406,55,-33.64,115.35,61,18.25
17,Cidreira,BR,88,1552406482,89,-30.17,-50.22,75.99,7.63
18,Kaitangata,NZ,12,1552406415,91,-46.28,169.85,57,4
19,Hilo,US,90,1552406483,93,19.71,-155.08,64.99,5.82
20,Rikitea,PF,56,1552406483,100,-23.12,-134.97,77.93,20.71
21,Sao Joao da Barra,BR,40,1552402800,55,-21.64,-41.05,87.8,5.82
22,Castro,CL,90,1552402800,93,-42.48,-73.76,51.8,2.24
23,Erenhot,CN,24,1552406484,52,43.65,111.97,21.09,7.4
24,Nizwa,OM,0,1552406452,11,22.93,57.53,67.49,10.54
25,Cape Town,ZA,75,1552406464,72,-33.93,18.42,66,13.87
26,Ushuaia,AR,75,1552402800,71,-54.81,-68.31,46.4,17.22
27,Talnakh,RU,0,1552406485,52,69.49,88.39,-10.41,2.71
28,Labuhan,ID,88,1552406485,90,-2.54,115.51,76.4,2.04
29,Caucaia,BR,20,1552406299,66,-3.73,-38.66,86,16.11
30,Butaritari,KI,80,1552406486,100,3.07,172.79,79.46,9.75
31,Stawell,AU,76,1552406419,82,-37.06,142.77,45,4.05
32,Tiksi,RU,0,1552406486,61,71.64,128.87,0.71,17.47
33,East London,ZA,0,1552402800,83,-33.02,27.91,77,12.75
34,Kaduqli,SD,0,1552406486,20,11.01,29.72,98.27,3.71
35,Bredasdorp,ZA,92,1552405602,64,-34.53,20.04,73.4,18.34
36,Jamestown,AU,8,1552406286,89,-33.21,138.6,48.72,4.83
37,Usinsk,RU,92,1552406488,93,66,57.56,28.29,5.39
38,Krasnogorsk,RU,75,1552406011,86,55.82,37.34,30,8.95
39,Deputatskiy,RU,0,1552406488,29,69.3,139.9,-21.48,6.17
40,Arraial do Cabo,BR,75,1552402800,74,-22.97,-42.02,86,11.41
41,Bluff,AU,68,1552406489,84,-23.58,149.07,70.82,5.84
42,Chuy,UY,100,1552406489,100,-33.69,-53.46,70.77,12.44
43,Saint George,GR,75,1552406013,71,39.45,22.34,51.8,10.29
44,Qaanaaq,GL,48,1552406490,100,77.48,-69.36,-2.81,6.51
45,Eutin,DE,20,1552406457,65,54.14,10.62,44.6,13.87
46,Gat,SN,0,1552404600,7,14.69,-16.54,95,11.41
47,Tabou,CI,56,1552406491,95,4.42,-7.36,84.05,12.33
48,Saint-Georges,CA,76,1552405637,72,46.12,-70.67,19.99,10
49,Guerrero Negro,MX,88,1552406216,100,27.97,-114.04,54.26,14.23
50,Longyearbyen,NO,75,1552405800,60,78.22,15.63,6.8,4.7
51,Mecca,SA,0,1552406394,29,21.43,39.83,90.44,9.98
52,Ulaanbaatar,MN,0,1552404600,60,47.92,106.92,8.6,2.24
53,Florianopolis,BR,75,1552406243,88,-27.6,-48.55,79,6.93
54,Kodiak,US,90,1552406480,90,39.95,-94.76,48,9.17
55,Los Llanos de Aridane,ES,20,1552406161,64,28.66,-17.92,69.8,14.99
56,Barrow,AR,56,1552406494,72,-38.31,-60.23,74.24,4.83
57,Faya,SA,40,1552402800,72,18.39,42.45,68,11.41
58,Clyde River,CA,75,1552402800,63,70.47,-68.59,-5.81,6.93
59,Puerto Ayora,EC,20,1552406427,74,-0.74,-90.35,81,8.05
60,Chokurdakh,RU,0,1552406495,33,70.62,147.9,-22.38,3.49
61,Mataura,NZ,8,1552406406,93,-46.19,168.86,54,1.99
62,Bideford,GB,40,1552406489,75,51.02,-4.21,46.99,13.87
63,Bay Roberts,CA,40,1552406461,96,47.58,-53.28,42.01,11.41
64,Tyrma,RU,0,1552406496,84,50.04,132.17,20.46,5.17
65,Aklavik,CA,90,1552402800,76,68.22,-135.01,-11.21,6.73
66,Nikolskoye,RU,75,1552406435,92,59.7,30.79,28,8.95
67,Sinnamary,GF,80,1552406497,87,5.38,-52.96,81.89,10.42
68,Aswan,EG,0,1552406497,22,24.09,32.9,83.96,2.37
69,Port Elizabeth,US,1,1552406496,36,39.31,-74.98,45,14.99
70,Aguas Formosas,BR,8,1552406498,44,-17.08,-40.94,90.66,5.61
71,Saskylakh,RU,64,1552406498,65,71.97,114.09,-4.43,3.15
72,Challapata,BO,0,1552406498,32,-18.9,-66.78,56.24,4.38
73,Taywarah,AF,32,1552406498,91,33.35,64.42,26.67,2.59
74,Thompson,CA,75,1552402800,78,55.74,-97.86,17.6,3.94
75,Lavrentiya,RU,32,1552406499,95,65.58,-170.99,0.12,34.02
76,Port Alfred,ZA,8,1552406499,70,-33.59,26.89,80.04,10.54
77,Port Augusta,AU,90,1552406188,63,-32.49,137.76,66.2,9.17
78,Georgetown,GY,64,1552406422,67,6.8,-58.16,85.71,8.41
79,Redmond,US,90,1552405665,86,47.67,-122.12,39.2,3.36
80,Pascagoula,US,1,1552406451,63,30.37,-88.56,66.99,5.82
81,Okha,RU,88,1552406502,90,53.59,142.95,25.37,9.64
82,Karangasem,ID,12,1552406503,100,-6.7,108.49,82.74,5.95
83,San Patricio,PY,80,1552406503,91,-26.98,-56.83,79.64,1.92
84,Yulara,AU,0,1552402800,25,-25.24,130.99,89.6,10.29
85,Parabel,RU,92,1552406504,94,58.71,81.5,34.19,7.63
86,Trelew,AR,0,1552406418,43,-43.25,-65.31,67.85,10.2
87,San Luis,AR,12,1552406453,63,-33.3,-66.34,75.54,5.17
88,Hermanus,ZA,24,1552406429,90,-34.42,19.24,66,7.07
89,Khatanga,RU,0,1552406506,72,71.98,102.47,-6.41,9.53
90,Danilov,RU,0,1552402800,68,58.19,40.17,26.6,4.47
91,Marystown,CA,12,1552406507,88,47.17,-55.16,36.35,12.44
92,Hobart,AU,20,1552406239,66,-42.88,147.33,48.2,10.29
93,Vaini,IN,12,1552406507,51,15.34,74.49,78.51,4.94
94,Atuona,PF,76,1552406507,100,-9.8,-139.03,81.98,14.23
95,Kalabo,ZM,12,1552406508,47,-15,22.67,86.97,7.96
96,Margate,AU,20,1552406436,66,-43.03,147.26,48.2,10.29
97,Yellowknife,CA,40,1552406397,92,62.45,-114.38,17.01,10.29
98,Osterburg,DE,88,1552406491,57,52.79,11.75,48,5.99
99,Carnarvon,ZA,0,1552406509,15,-30.97,22.13,78.47,17.81
100,Itambacuri,BR,48,1552406262,46,-18.04,-41.68,90.62,5.61
101,Ozernovskiy,RU,64,1552406509,83,51.5,156.52,23.75,16.69
102,Pitea,SE,0,1552406014,48,65.32,21.48,24.01,5.82
103,Ixtapa,MX,75,1552406421,69,20.71,-105.21,77,2.71
104,Windhoek,NA,0,1552406424,10,-22.57,17.08,91.4,9.17
105,Valparaiso,US,1,1552406503,64,41.47,-87.06,43,5.82
106,Chisec,GT,100,1552406511,100,15.81,-90.29,63.39,2.37
107,Lagoa,PT,0,1552406426,77,37.14,-8.45,71.01,11.41
108,Duobao,CN,0,1552406480,60,30.67,112.69,57,7.52
109,Saint-Philippe,CA,40,1552406436,58,45.36,-73.48,27,5.82
110,Nanortalik,GL,92,1552406513,100,60.14,-45.24,27.84,23.73
111,Karasburg,NA,0,1552406513,12,-28.01,18.75,86.03,7.96
112,Mar del Plata,AR,0,1552406513,66,-46.43,-67.52,61.01,12.77
113,Ocos,GT,20,1552402800,55,14.51,-92.19,86,6.93
114,Kavieng,PG,92,1552406514,100,-2.57,150.8,76.17,11.54
115,Sambava,MG,12,1552406514,100,-14.27,50.17,81.84,4.94
116,Marica,BR,75,1552406412,66,-22.92,-42.82,89.6,9.17
117,Waddan,LY,0,1552406514,42,29.16,16.14,67.58,14.79
118,Matagami,NG,8,1552406514,41,9.67,8.4,90.17,4.05
119,Naze,NG,8,1552406515,76,5.43,7.07,91.47,6.4
120,Yaan,NG,0,1552406515,40,7.38,8.57,99.84,4.61
121,Dunedin,NZ,0,1552406206,86,-45.87,170.5,60.01,1.99
122,Praya,ID,40,1552402800,100,-8.71,116.27,77,2.59
123,Bambous Virieux,MU,75,1552406346,78,-20.34,57.76,82.4,4.7
124,Berlevag,NO,75,1552405800,73,70.86,29.09,26.6,14.99
125,Enumclaw,US,90,1552406516,100,47.2,-121.99,41,4.7
126,Upernavik,GL,12,1552406516,100,72.79,-56.15,-1.73,11.99
127,Mahebourg,MU,75,1552406346,78,-20.41,57.7,82.4,4.7
128,Bubaque,GW,0,1552406517,63,11.28,-15.83,90.98,12.77
129,Cadereyta,MX,90,1552406494,83,25.58,-99.98,69.8,8.05
130,Kupang,ID,75,1552402800,94,-10.16,123.6,78.8,6.93
131,Hargeysa,SO,0,1552406518,21,9.56,44.06,83.01,6.17
132,Uyuni,BO,0,1552406518,14,-20.46,-66.82,62.94,6.51
133,Tasiilaq,GL,75,1552402200,79,65.61,-37.64,23,3.36
134,Fort Nelson,CA,75,1552402800,67,58.81,-122.69,23,4.7
135,Birigui,BR,0,1552406519,63,-21.29,-50.34,88.77,7.4
136,Mitsamiouli,KM,20,1552402800,79,-11.38,43.28,84.2,5.82
137,Arman,RU,12,1552406519,59,59.7,150.17,-13.34,2.82
